"student","social","gender","take_exam","Fi","CBi","Vi","MApi","PApi","total_time","total_activity","qp_time","wa_time","qp_activity","wa_activity","total_time_be","total_activity_be","pretest","posttest","exam_norm","lgain_pp","lgain_pe"
"user0787","social","male","yes",1,0.65,0.73,0.67,0.67,88,4,88,0,4,0,88,4,0.09,0.82,0.93,0.802197802197802,0.923076923076923
"user0788","social","male","no",0.5,0.3,0.6,0.44,0.22,3448,164,2171,1277,49,115,3448,164,0.09,NA,-1,NA,NA
"user0789","social","male","no",0.33,0.25,0.8,0.5,0.67,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0790","social","female","yes",0.5,0.35,0.67,0.61,0.5,3863,327,2761,1102,55,272,0,0,0.18,0.45,0.65,0.329268292682927,0.573170731707317
"user0791","social","male","yes",0.5,0.65,0.47,0.5,0.56,6494,876,4608,1886,203,673,0,0,0.09,0.73,0.69,0.703296703296703,0.659340659340659
"user0792","social","male","yes",0.25,0.3,0.6,0.83,1,1387,125,1091,296,39,86,1387,125,0.09,0.64,0.87,0.604395604395604,0.857142857142857
"user0793","social","male","yes",0.67,0.55,0.87,0.89,0.5,0,0,0,0,0,0,0,0,0,0.91,0.63,0.91,0.63
"user0794","social","male","no",0.75,0.5,0.8,0.94,0.67,728,96,543,185,17,79,728,96,0.09,NA,-1,NA,NA
"user0795","social","male","yes",0.67,0.65,0.73,0.83,0.56,0,0,0,0,0,0,0,0,0.18,NA,0.79,NA,0.74390243902439
"user0796","social","male","yes",0.5,0.45,0.53,0.89,0.72,1538,106,1243,295,22,84,1538,106,0.18,NA,0.52,NA,0.414634146341463
"user0797","social","female","yes",0.58,0.35,0.67,0.67,0.44,2305,383,786,1519,18,365,0,0,0.18,0.82,0.89,0.780487804878049,0.865853658536585
"user0798","social","male","yes",0.92,0.85,0.93,0.83,0.72,2705,73,2519,186,43,30,2267,69,0.09,0.45,0.92,0.395604395604396,0.912087912087912
"user0799","social","male","yes",0.5,0.35,0.73,0.61,0.17,0,0,0,0,0,0,0,0,0.09,0.82,0.91,0.802197802197802,0.901098901098901
"user0800","social","female","yes",0.5,0.5,0.53,0.61,0.67,2470,136,1170,1300,21,115,2470,136,0.27,NA,0.89,NA,0.849315068493151
"user0801","social","male","yes",0.67,0.65,0.67,0.56,0.28,0,0,0,0,0,0,0,0,0.09,NA,0.86,NA,0.846153846153846
"user0802","social","female","no",0.5,0.6,0.87,0.61,0.11,34,2,34,0,2,0,34,2,0.64,NA,-1,NA,NA
"user0803","social","male","yes",0.42,0.45,0.67,0.5,0.22,1048,381,330,718,13,368,0,0,0.09,0.45,0.25,0.395604395604396,0.175824175824176
"user0804","social","female","yes",0.25,0,0.13,0.72,0.5,0,0,0,0,0,0,0,0,0.18,0.36,0.6,0.219512195121951,0.512195121951219
"user0805","social","male","yes",0.5,0.5,0.87,0.67,0.72,0,0,0,0,0,0,0,0,0.09,NA,0.45,NA,0.395604395604396
"user0806","social","male","yes",0.42,0.7,0.67,0.72,0.33,0,0,0,0,0,0,0,0,0.27,1,0.67,1,0.547945205479452
"user0807","social","female","yes",0.58,0.05,0.73,0.67,0.67,852,101,518,334,14,87,852,101,0.09,0.55,0.91,0.505494505494506,0.901098901098901
"user0808","social","male","yes",0.42,0.55,0.67,0.61,0.61,1910,352,1159,751,28,324,1910,352,0.36,NA,0.88,NA,0.8125
"user0809","social",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0810","social","male","yes",0.67,0.15,0.53,0.61,0.67,0,0,0,0,0,0,0,0,0.18,0.91,0.92,0.890243902439024,0.902439024390244
"user0811","social","male","yes",0.25,0.45,0.53,0.5,0.44,0,0,0,0,0,0,0,0,0.09,NA,0.89,NA,0.879120879120879
"user0812","social","male","yes",0.42,0.35,0.67,0.44,0.39,164,5,162,2,4,1,0,0,0,0.64,0.88,0.64,0.88
"user0813","social","male","yes",0.58,0.55,0.8,0.72,0.61,0,0,0,0,0,0,0,0,0.18,NA,0.9,NA,0.878048780487805
"user0814","social","male","yes",0.58,0.65,0.67,0.78,0.72,0,0,0,0,0,0,0,0,0.09,0.18,0.65,0.0989010989010989,0.615384615384615
"user0815","social","female","yes",0.67,0.3,0.6,0.5,0.39,648,46,553,95,20,26,0,0,0.09,0.73,0.94,0.703296703296703,0.934065934065934
"user0816","social","female","yes",0.67,0.65,0.67,0.83,0.67,0,0,0,0,0,0,0,0,0.18,NA,0.66,NA,0.585365853658537
"user0817","social","male","yes",0.58,0.65,0.6,0.78,0.78,9428,776,6909,2519,156,620,0,0,0.18,0.73,0.76,0.670731707317073,0.707317073170732
"user0818","social","male","yes",0.33,0.35,0.47,0.22,0.5,10801,819,9025,1776,153,666,0,0,0.55,NA,0.83,NA,0.622222222222222
"user0819","social","male","yes",0.67,0.5,0.67,0.83,0.83,1450,376,593,857,13,363,0,0,0.18,0.82,0.83,0.780487804878049,0.792682926829268
"user0820","social","male","no",0.58,0.25,0.53,0.5,0.5,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0821","social","female","yes",0.75,0.5,0.73,0.94,0.67,1562,83,1267,295,31,52,723,53,0.27,0.82,0.94,0.753424657534246,0.917808219178082
"user0822","social","male","no",0.67,0.5,0.53,0.5,0.5,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0823","social","male","no",0.33,0.25,0.6,0.78,0.56,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA
"user0824","social","male","yes",0.58,0.25,0.47,0.5,0,3812,585,2328,1484,76,509,3812,585,0,0.82,0.94,0.82,0.94
"user0825","social","female","yes",0.33,0.2,0.6,0.5,0.61,2850,340,2284,566,79,261,150,5,0.09,0.45,0.95,0.395604395604396,0.945054945054945
"user0826","social","male","yes",0.58,0.6,0.67,0.72,0.5,0,0,0,0,0,0,0,0,0.45,0.36,0.94,-0.163636363636364,0.890909090909091
"user0827","social","male","yes",0.75,0.6,0.67,0.72,0.67,839,112,652,187,24,88,0,0,0.18,0.27,0.82,0.109756097560976,0.780487804878049
"user0828","social","male","yes",0.5,0.35,1,0.56,0.67,1033,112,799,234,13,99,983,89,0.09,0.55,0.87,0.505494505494506,0.857142857142857
"user0829","social","male","yes",0.58,0.2,0.6,0.67,0.67,0,0,0,0,0,0,0,0,0.09,1,0.95,1,0.945054945054945
"user0830","social",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0831","social","male","yes",0.58,0.2,1,0.67,1,0,0,0,0,0,0,0,0,0.27,0.64,0.88,0.506849315068493,0.835616438356164
"user0832","social","male","no",0.75,0.8,1,0.83,0.67,4138,730,2924,1214,106,624,0,0,0.91,NA,-1,NA,NA
"user0833","social","male","yes",0.5,1,0.67,1,1,0,0,0,0,0,0,0,0,0.09,NA,0.47,NA,0.417582417582418
"user0834","social","male","no",0.5,0.5,0.67,0.61,0.61,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA
"user0835","social","female","yes",0.5,0.15,0.93,0.56,0.33,0,0,0,0,0,0,0,0,0.09,NA,0.51,NA,0.461538461538462
"user0836","social",NA,"yes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.81,NA,NA
